,Unnamed: 0,driver,ageDuringRace,points
606,606,FernandoAlonso,33,0.0
607,607,JensonButton,35,0.0
608,608,LewisHamilton,30,18.0
609,609,NicoRosberg,29,15.0
610,610,FelipeMassa,33,8.0
611,611,ValtteriBottas,25,10.0
612,612,MarcusEricsson,24,0.0
613,613,FelipeNasr,22,0.0
614,614,KimiRäikkönen,35,12.0
615,615,SebastianVettel,27,25.0
616,616,RomainGrosjean,28,0.0
617,617,PastorMaldonado,30,0.0
618,618,MaxVerstappen,17,6.0
619,619,CarlosSainz,20,4.0
620,620,DanielRicciardo,25,1.0
621,621,DaniilKvyat,20,2.0
622,622,NicoHülkenberg,27,0.0
623,623,SergioPérez,25,0.0
624,624,RobertoMerhi,24,0.0
625,625,FernandoAlonso,34,6.0
626,626,JensonButton,36,2.0
627,627,LewisHamilton,31,0.0
628,628,NicoRosberg,30,15.0
629,629,FelipeMassa,34,0.0
630,630,ValtteriBottas,26,10.0
631,631,MarcusEricsson,25,0.0
632,632,FelipeNasr,23,0.0
633,633,KevinMagnussen,23,0.0
634,634,JolyonPalmer,25,1.0
635,635,KimiRäikkönen,36,12.0
636,636,SebastianVettel,28,0.0
637,637,DaniilKvyat,21,0.0
638,638,CarlosSainz,21,0.0
639,639,DanielRicciardo,26,25.0
640,640,MaxVerstappen,18,18.0
641,641,NicoHülkenberg,28,4.0
642,642,SergioPérez,26,8.0
643,643,RomainGrosjean,29,0.0
644,644,EstebanGutiérrez,24,0.0
645,645,PascalWehrlein,21,0.0
646,646,EstebanOcon,19,0.0
647,647,FernandoAlonso,35,0.0
648,648,StoffelVandoorne,24,6.0
649,649,LewisHamilton,32,18.0
650,650,ValtteriBottas,27,10.0
651,651,FelipeMassa,35,2.0
652,652,LanceStroll,18,4.0
653,653,MarcusEricsson,26,0.0
654,654,PascalWehrlein,22,0.0
655,655,NicoHülkenberg,29,0.0
656,656,JolyonPalmer,25,0.0
657,657,KimiRäikkönen,37,0.0
658,658,SebastianVettel,29,12.0
659,659,PierreGasly,20,0.0
660,660,CarlosSainz,22,0.0
661,661,DanielRicciardo,27,15.0
662,662,MaxVerstappen,19,25.0
663,663,SergioPérez,26,8.0
664,664,EstebanOcon,20,1.0
665,665,RomainGrosjean,30,0.0
666,666,KevinMagnussen,24,0.0
667,667,KimiRäikkönen,26,0.0
668,668,JuanPablo Montoya,30,5.0
669,669,NickHeidfeld,28,0.0
670,670,JacquesVilleneuve,34,2.0
671,671,NicoRosberg,20,0.0
672,672,MarkWebber,29,0.0
673,673,FernandoAlonso,24,8.0
674,674,GiancarloFisichella,33,10.0
675,675,FelipeMassa,24,4.0
676,676,MichaelSchumacher,37,3.0
677,677,VitantonioLiuzzi,25,0.0
678,678,ScottSpeed,23,0.0
679,679,JarnoTrulli,31,0.0
680,680,RalfSchumacher,30,1.0
681,681,TakumaSato,29,0.0
682,682,YujiIde,31,0.0
683,683,DavidCoulthard,35,0.0
684,684,ChristianKlien,23,0.0
685,685,JensonButton,26,6.0
686,686,RubensBarrichello,33,0.0
687,687,ChristijanAlbers,26,0.0
688,688,TiagoMonteiro,29,0.0
689,689,KimiRäikkönen,23,10.0
690,690,DavidCoulthard,32,0.0
691,691,RalfSchumacher,27,5.0
692,692,JuanPablo Montoya,27,0.0
693,693,GiancarloFisichella,30,0.0
694,694,RalphFirman,27,0.0
695,695,NickHeidfeld,25,1.0
696,696,Heinz-HaraldFrentzen,35,0.0
697,697,FernandoAlonso,21,6.0
698,698,JarnoTrulli,28,4.0
699,699,JosVerstappen,31,0.0
700,700,JustinWilson,24,0.0
701,701,RubensBarrichello,30,8.0
702,702,MichaelSchumacher,34,3.0
703,703,Cristianoda Matta,29,0.0
704,704,OlivierPanis,36,0.0
705,705,JensonButton,23,2.0
706,706,JacquesVilleneuve,31,0.0
707,707,MarkWebber,26,0.0
708,708,AntônioPizzonia,22,0.0
709,709,KimiRäikkönen,22,0.0
710,710,DavidCoulthard,30,0.0
711,711,RalfSchumacher,26,10.0
712,712,JuanPablo Montoya,26,6.0
713,713,TakumaSato,25,0.0
714,714,GiancarloFisichella,29,0.0
715,715,NickHeidfeld,24,2.0
716,716,FelipeMassa,20,1.0
717,717,JarnoTrulli,27,0.0
718,718,JensonButton,22,3.0
